INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_DESCRIPTION,DISTRICT,NEIGHBORHOOD,STREET,OCCURRED_ON_DATE,YEAR,MONTH,MONTH_YEAR,DAY_OF_WEEK,HOUR,TIME_OF_DAY,SEASON,IS_WEEKEND,Lat,Long
222000221,1832,SICK ASSIST - DRUG RELATED ILLNESS,A1,Downtown/Beacon Hill,WINTER ST,2022-01-01 23:40:00,2022,1,2022-01,Saturday,23,Night,Winter,1,42.35602373388715,-71.06177615141588
222000258,1832,SICK ASSIST - DRUG RELATED ILLNESS,C6,South Boston,ALLSTATE RD,2022-01-02 08:45:00,2022,1,2022-01,Sunday,8,Morning,Winter,1,42.32809966041151,-71.06321676048991
222000339,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,CHAUNCY ST,2022-01-02 17:40:00,2022,1,2022-01,Sunday,17,Afternoon,Winter,1,42.35285118040311,-71.06096411490165
222000577,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2022-01-03 00:00:00,2022,1,2022-01,Monday,0,Late Night,Winter,0,42.34128750439044,-71.05467932649397
222000422,1832,SICK ASSIST - DRUG RELATED ILLNESS,B2,Roxbury,HIGHLAND ST,2022-01-03 02:35:00,2022,1,2022-01,Monday,2,Late Night,Winter,0,42.32308366372913,-71.09431771248565
222000476,1832,SICK ASSIST - DRUG RELATED ILLNESS,B2,Roxbury,WASHINGTON ST,2022-01-03 11:01:00,2022,1,2022-01,Monday,11,Morning,Winter,0,42.33139658557952,-71.08232496186687
222000574,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2022-01-03 12:00:00,2022,1,2022-01,Monday,12,Afternoon,Winter,0,42.34128750439044,-71.05467932649397
222000580,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,TEMPLE PL,2022-01-03 17:30:00,2022,1,2022-01,Monday,17,Afternoon,Winter,0,42.35521428732261,-71.06206350909659
222000606,1832,SICK ASSIST - DRUG RELATED ILLNESS,B2,Roxbury,DUDLEY ST,2022-01-03 18:00:00,2022,1,2022-01,Monday,18,Evening,Winter,0,42.32872588572028,-71.08382216968015
222000611,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,Roxbury,"QUINCY ST & WARREN ST
BOSTON  MA 02121
UNITED STAT",2022-01-03 19:00:00,2022,1,2022-01,Monday,19,Evening,Winter,0,42.31637002126979,-71.08289994675354
